股票,,,,,
證券代碼,證券名稱,持股權重(%),股數,所屬產業,
2330,台積電,48.95,"142,806,538",IC生產 ，專業晶圓代工 ，IC製造,
2454,聯發科,4.95,"8,797,495",DSL晶片組 ，無線網路IC ，衛星導航晶片組 ，數據機晶片組 ，CPU ，IC設計 ，網路通訊IC ，消費性IC ，光碟機驅動IC ，LCD控制IC ，影音IC ，數位電視IC ，手機晶片相關 ，手機零組件,
2317,鴻海,4.58,"70,969,207",機器人 ，機械 ，車用電子 ，汽車內裝 ，連接器 ，電子零件元件 ，桌上型電腦 ，伺服器 ，筆記型電腦製造 ，顯示器 ，液晶電視 ，通訊設備 ，手機 ，手機製造 ，區域網路 ，視訊轉換相關 ，遊戲機 ，平板電腦 ，消費性電子產品 ，週邊產品 ，硬碟相關 ，電子書閱讀器 ，穿戴式裝置 ，電子製造服務 ，遊戲產業 ，電腦系統業,
2308,台達電,2.2,"12,847,388",車用充電相關 ，UPS ，機器人 ，機械 ，電力設備 ，汽機車零組件 ，車用電子 ，車用電池 ，LED ，LED照明產品 ，電源供應器 ，變壓器 ，無線充電 ，被動元件 ，晶片電阻 ，電感 ，其他電子零件 ，散熱風扇馬達 ，電子零件元件 ，散熱模組 ，顯示器 ，投影機 ，通訊設備 ，系統整合 ，軟體業 ，雲端科技 ，太陽能 ，PV Inverter,
2303,聯電,2.12,"69,293,408",專業晶圓代工 ，IC製造,
2881,富邦金,1.83,"43,686,842",銀行 ，壽險 ，產險 ，證券 ，投信 ，投資信託 ，金控 ，金融其他 ，資產管理 ，金融業,
1301,台塑,1.77,"28,959,134",PVC ，PE ，PP ，AN ，石化業 ，亞克力棉 ，化纖原料 ，合成樹脂 ，EVA ，醋酸 ，化學工業 ，其他化工產品 ，傳產其他 ，複合材料,
1303,南亞,1.66,"33,577,473",DOP ，塑膠皮布 ，塑膠加工 ，PA ，石化業 ，聚酯絲 ，聚酯棉 ，紡織用聚酯粒 ，瓶用聚酯粒 ，化纖原料 ，EG ，合成樹脂 ，丁二醇 ，化學工業 ，玻纖布 ，銅箔基板 ，印刷電路板相關,
2002,中鋼,1.61,"73,341,776",鋼胚 ，熱軋鋼捲 ，線材、盤元 ，條鋼 ，冷軋鋼捲 ，鍍鋅鋼捲 ，棒鋼 ，鋼板 ，塗鍍鋼捲 ，板鋼,
2882,國泰金,1.56,"49,142,272",銀行 ，壽險 ，產險 ，證券 ，投信 ，投資信託 ，金控 ，金融其他 ，資產管理 ，金融業,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
